num_nodes,seed,edge_probability,ttl,generated,delivered,duplicates,dropped,transmissions,delivery_rate,duplicate_ratio
5,1,0.2,20,100,100,300,0,700,1.0,0.42857142857142855
5,2,0.2,20,100,100,200,0,600,1.0,0.3333333333333333
5,3,0.2,20,100,100,200,0,600,1.0,0.3333333333333333
5,4,0.2,20,100,100,300,0,700,1.0,0.42857142857142855
5,5,0.2,20,100,100,100,0,500,1.0,0.2
5,6,0.2,20,100,100,0,0,400,1.0,0.0
5,7,0.2,20,100,100,300,0,700,1.0,0.42857142857142855
5,8,0.2,20,100,100,400,0,800,1.0,0.5
5,9,0.2,20,100,100,100,0,500,1.0,0.2
5,10,0.2,20,100,100,0,0,400,1.0,0.0
5,11,0.2,20,100,100,100,0,500,1.0,0.2
5,12,0.2,20,100,100,300,0,700,1.0,0.42857142857142855
5,13,0.2,20,100,100,400,0,800,1.0,0.5
5,14,0.2,20,100,100,0,0,400,1.0,0.0
5,15,0.2,20,100,100,200,0,600,1.0,0.3333333333333333
5,16,0.2,20,100,100,200,0,600,1.0,0.3333333333333333
5,17,0.2,20,100,100,0,0,400,1.0,0.0
5,18,0.2,20,100,100,0,0,400,1.0,0.0
5,19,0.2,20,100,100,200,0,600,1.0,0.3333333333333333
5,20,0.2,20,100,100,400,0,800,1.0,0.5
10,1,0.2,20,100,100,1100,0,2000,1.0,0.55
10,2,0.2,20,100,100,1100,0,2000,1.0,0.55
10,3,0.2,20,100,100,500,0,1400,1.0,0.35714285714285715
10,4,0.2,20,100,100,1300,0,2200,1.0,0.5909090909090909
10,5,0.2,20,100,100,1700,0,2600,1.0,0.6538461538461539
10,6,0.2,20,100,100,1200,0,2100,1.0,0.5714285714285714
10,7,0.2,20,100,100,1700,0,2600,1.0,0.6538461538461539
10,8,0.2,20,100,100,1200,0,2100,1.0,0.5714285714285714
10,9,0.2,20,100,100,1000,0,1900,1.0,0.5263157894736842
10,10,0.2,20,100,100,1500,0,2400,1.0,0.625
10,11,0.2,20,100,100,1900,0,2800,1.0,0.6785714285714286
10,12,0.2,20,100,100,1400,0,2300,1.0,0.6086956521739131
10,13,0.2,20,100,100,900,0,1800,1.0,0.5
10,14,0.2,20,100,100,1300,0,2200,1.0,0.5909090909090909
10,15,0.2,20,100,100,1000,0,1900,1.0,0.5263157894736842
10,16,0.2,20,100,100,1100,0,2000,1.0,0.55
10,17,0.2,20,100,100,1200,0,2100,1.0,0.5714285714285714
10,18,0.2,20,100,100,1100,0,2000,1.0,0.55
10,19,0.2,20,100,100,1300,0,2200,1.0,0.5909090909090909
10,20,0.2,20,100,100,1500,0,2400,1.0,0.625
15,1,0.2,20,100,100,2500,0,3900,1.0,0.6410256410256411
15,2,0.2,20,100,100,2300,0,3700,1.0,0.6216216216216216
15,3,0.2,20,100,100,3200,0,4600,1.0,0.6956521739130435
15,4,0.2,20,100,100,3200,0,4600,1.0,0.6956521739130435
15,5,0.2,20,100,100,4700,0,6100,1.0,0.7704918032786885
15,6,0.2,20,100,100,2300,0,3700,1.0,0.6216216216216216
15,7,0.2,20,100,100,4000,0,5400,1.0,0.7407407407407407
15,8,0.2,20,100,100,3400,0,4800,1.0,0.7083333333333334
15,9,0.2,20,100,100,4000,0,5400,1.0,0.7407407407407407
15,10,0.2,20,100,100,3100,0,4500,1.0,0.6888888888888889
15,11,0.2,20,100,100,3800,0,5200,1.0,0.7307692307692307
15,12,0.2,20,100,100,4000,0,5400,1.0,0.7407407407407407
15,13,0.2,20,100,100,3700,0,5100,1.0,0.7254901960784313
15,14,0.2,20,100,100,3500,0,4900,1.0,0.7142857142857143
15,15,0.2,20,100,100,3000,0,4400,1.0,0.6818181818181818
15,16,0.2,20,100,100,3400,0,4800,1.0,0.7083333333333334
15,17,0.2,20,100,100,3400,0,4800,1.0,0.7083333333333334
15,18,0.2,20,100,100,1900,0,3300,1.0,0.5757575757575758
15,19,0.2,20,100,100,3800,0,5200,1.0,0.7307692307692307
15,20,0.2,20,100,100,4400,0,5800,1.0,0.7586206896551724
20,1,0.2,20,100,100,5000,0,6900,1.0,0.7246376811594203
20,2,0.2,20,100,100,6700,0,8600,1.0,0.7790697674418605
20,3,0.2,20,100,100,5400,0,7300,1.0,0.7397260273972602
20,4,0.2,20,100,100,6300,0,8200,1.0,0.7682926829268293
20,5,0.2,20,100,100,6300,0,8200,1.0,0.7682926829268293
20,6,0.2,20,100,100,7000,0,8900,1.0,0.7865168539325843
20,7,0.2,20,100,100,7700,0,9600,1.0,0.8020833333333334
20,8,0.2,20,100,100,6500,0,8400,1.0,0.7738095238095238
20,9,0.2,20,100,100,8100,0,10000,1.0,0.81
20,10,0.2,20,100,100,6300,0,8200,1.0,0.7682926829268293
20,11,0.2,20,100,100,9400,0,11300,1.0,0.831858407079646
20,12,0.2,20,100,100,6500,0,8400,1.0,0.7738095238095238
20,13,0.2,20,100,100,6600,0,8500,1.0,0.7764705882352941
20,14,0.2,20,100,100,5900,0,7800,1.0,0.7564102564102564
20,15,0.2,20,100,100,5800,0,7700,1.0,0.7532467532467533
20,16,0.2,20,100,100,7500,0,9400,1.0,0.7978723404255319
20,17,0.2,20,100,100,4700,0,6600,1.0,0.7121212121212122
20,18,0.2,20,100,100,6600,0,8500,1.0,0.7764705882352941
20,19,0.2,20,100,100,7300,0,9200,1.0,0.7934782608695652
20,20,0.2,20,100,100,7900,0,9800,1.0,0.8061224489795918
