seed,edge_probability,generated,delivered,duplicates,dropped,transmissions,delivery_rate,duplicate_ratio
1,0.1,100,100,800,0,1700,1.0,0.47058823529411764
2,0.1,100,100,400,0,1300,1.0,0.3076923076923077
3,0.1,100,100,500,0,1400,1.0,0.35714285714285715
4,0.1,100,100,700,0,1600,1.0,0.4375
5,0.1,100,100,700,0,1600,1.0,0.4375
6,0.1,100,100,700,0,1600,1.0,0.4375
7,0.1,100,100,1000,0,1900,1.0,0.5263157894736842
8,0.1,100,100,500,0,1400,1.0,0.35714285714285715
9,0.1,100,100,800,0,1700,1.0,0.47058823529411764
10,0.1,100,100,1000,0,1900,1.0,0.5263157894736842
11,0.1,100,100,1200,0,2100,1.0,0.5714285714285714
12,0.1,100,100,800,0,1700,1.0,0.47058823529411764
13,0.1,100,100,200,0,1100,1.0,0.18181818181818182
14,0.1,100,100,800,0,1700,1.0,0.47058823529411764
15,0.1,100,100,600,0,1500,1.0,0.4
16,0.1,100,100,800,0,1700,1.0,0.47058823529411764
17,0.1,100,100,400,0,1300,1.0,0.3076923076923077
18,0.1,100,100,0,0,900,1.0,0.0
19,0.1,100,100,700,0,1600,1.0,0.4375
20,0.1,100,100,600,0,1500,1.0,0.4
1,0.2,100,100,1100,0,2000,1.0,0.55
2,0.2,100,100,1100,0,2000,1.0,0.55
3,0.2,100,100,500,0,1400,1.0,0.35714285714285715
4,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
5,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
6,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
7,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
8,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
9,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
10,0.2,100,100,1500,0,2400,1.0,0.625
11,0.2,100,100,1900,0,2800,1.0,0.6785714285714286
12,0.2,100,100,1400,0,2300,1.0,0.6086956521739131
13,0.2,100,100,900,0,1800,1.0,0.5
14,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
15,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
16,0.2,100,100,1100,0,2000,1.0,0.55
17,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
18,0.2,100,100,1100,0,2000,1.0,0.55
19,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
20,0.2,100,100,1500,0,2400,1.0,0.625
1,0.3,100,100,2000,0,2900,1.0,0.6896551724137931
2,0.3,100,100,1500,0,2400,1.0,0.625
3,0.3,100,100,700,0,1600,1.0,0.4375
4,0.3,100,100,1500,0,2400,1.0,0.625
5,0.3,100,100,2700,0,3600,1.0,0.75
6,0.3,100,100,1600,0,2500,1.0,0.64
7,0.3,100,100,2100,0,3000,1.0,0.7
8,0.3,100,100,1700,0,2600,1.0,0.6538461538461539
9,0.3,100,100,1400,0,2300,1.0,0.6086956521739131
10,0.3,100,100,2100,0,3000,1.0,0.7
11,0.3,100,100,2800,0,3700,1.0,0.7567567567567568
12,0.3,100,100,1400,0,2300,1.0,0.6086956521739131
13,0.3,100,100,1800,0,2700,1.0,0.6666666666666666
14,0.3,100,100,2100,0,3000,1.0,0.7
15,0.3,100,100,1900,0,2800,1.0,0.6785714285714286
16,0.3,100,100,1800,0,2700,1.0,0.6666666666666666
17,0.3,100,100,1700,0,2600,1.0,0.6538461538461539
18,0.3,100,100,2200,0,3100,1.0,0.7096774193548387
19,0.3,100,100,1500,0,2400,1.0,0.625
20,0.3,100,100,2800,0,3700,1.0,0.7567567567567568
1,0.4,100,100,2600,0,3500,1.0,0.7428571428571429
2,0.4,100,100,2200,0,3100,1.0,0.7096774193548387
3,0.4,100,100,1300,0,2200,1.0,0.5909090909090909
4,0.4,100,100,1900,0,2800,1.0,0.6785714285714286
5,0.4,100,100,3600,0,4500,1.0,0.8
6,0.4,100,100,1900,0,2800,1.0,0.6785714285714286
7,0.4,100,100,2500,0,3400,1.0,0.7352941176470589
8,0.4,100,100,2100,0,3000,1.0,0.7
9,0.4,100,100,2100,0,3000,1.0,0.7
10,0.4,100,100,2500,0,3400,1.0,0.7352941176470589
11,0.4,100,100,3300,0,4200,1.0,0.7857142857142857
12,0.4,100,100,2000,0,2900,1.0,0.6896551724137931
13,0.4,100,100,2200,0,3100,1.0,0.7096774193548387
14,0.4,100,100,2700,0,3600,1.0,0.75
15,0.4,100,100,2100,0,3000,1.0,0.7
16,0.4,100,100,2600,0,3500,1.0,0.7428571428571429
17,0.4,100,100,1900,0,2800,1.0,0.6785714285714286
18,0.4,100,100,2600,0,3500,1.0,0.7428571428571429
19,0.4,100,100,1500,0,2400,1.0,0.625
20,0.4,100,100,3200,0,4100,1.0,0.7804878048780488
