seed,edge_probability,generated,delivered,duplicates,dropped,transmissions,delivery_rate,duplicate_ratio
1,0.2,100,100,1100,0,2000,1.0,0.55
2,0.2,100,100,1100,0,2000,1.0,0.55
3,0.2,100,100,500,0,1400,1.0,0.35714285714285715
4,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
5,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
6,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
7,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
8,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
9,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
10,0.2,100,100,1500,0,2400,1.0,0.625
11,0.2,100,100,1900,0,2800,1.0,0.6785714285714286
12,0.2,100,100,1400,0,2300,1.0,0.6086956521739131
13,0.2,100,100,900,0,1800,1.0,0.5
14,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
15,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
16,0.2,100,100,1100,0,2000,1.0,0.55
17,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
18,0.2,100,100,1100,0,2000,1.0,0.55
19,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
20,0.2,100,100,1500,0,2400,1.0,0.625
