num_packets,seed,edge_probability,ttl,generated,delivered,duplicates,dropped,transmissions,delivery_rate,duplicate_ratio,mean_hops
10,1,0.2,20,10,10,110,0,200,1.0,0.55,5.0
10,2,0.2,20,10,10,110,0,200,1.0,0.55,7.0
10,3,0.2,20,10,10,50,0,140,1.0,0.35714285714285715,5.0
10,4,0.2,20,10,10,130,0,220,1.0,0.5909090909090909,5.0
10,5,0.2,20,10,10,170,0,260,1.0,0.6538461538461539,7.0
10,6,0.2,20,10,10,120,0,210,1.0,0.5714285714285714,3.0
10,7,0.2,20,10,10,170,0,260,1.0,0.6538461538461539,5.0
10,8,0.2,20,10,10,120,0,210,1.0,0.5714285714285714,3.0
10,9,0.2,20,10,10,100,0,190,1.0,0.5263157894736842,6.0
10,10,0.2,20,10,10,150,0,240,1.0,0.625,6.0
10,11,0.2,20,10,10,190,0,280,1.0,0.6785714285714286,9.0
10,12,0.2,20,10,10,140,0,230,1.0,0.6086956521739131,7.0
10,13,0.2,20,10,10,90,0,180,1.0,0.5,7.0
10,14,0.2,20,10,10,130,0,220,1.0,0.5909090909090909,5.0
10,15,0.2,20,10,10,100,0,190,1.0,0.5263157894736842,6.0
10,16,0.2,20,10,10,110,0,200,1.0,0.55,7.0
10,17,0.2,20,10,10,120,0,210,1.0,0.5714285714285714,7.0
10,18,0.2,20,10,10,110,0,200,1.0,0.55,5.0
10,19,0.2,20,10,10,130,0,220,1.0,0.5909090909090909,4.0
10,20,0.2,20,10,10,150,0,240,1.0,0.625,7.0
50,1,0.2,20,50,50,550,0,1000,1.0,0.55,5.0
50,2,0.2,20,50,50,550,0,1000,1.0,0.55,7.0
50,3,0.2,20,50,50,250,0,700,1.0,0.35714285714285715,5.0
50,4,0.2,20,50,50,650,0,1100,1.0,0.5909090909090909,5.0
50,5,0.2,20,50,50,850,0,1300,1.0,0.6538461538461539,7.0
50,6,0.2,20,50,50,600,0,1050,1.0,0.5714285714285714,3.0
50,7,0.2,20,50,50,850,0,1300,1.0,0.6538461538461539,5.0
50,8,0.2,20,50,50,600,0,1050,1.0,0.5714285714285714,3.0
50,9,0.2,20,50,50,500,0,950,1.0,0.5263157894736842,6.0
50,10,0.2,20,50,50,750,0,1200,1.0,0.625,6.0
50,11,0.2,20,50,50,950,0,1400,1.0,0.6785714285714286,9.0
50,12,0.2,20,50,50,700,0,1150,1.0,0.6086956521739131,7.0
50,13,0.2,20,50,50,450,0,900,1.0,0.5,7.0
50,14,0.2,20,50,50,650,0,1100,1.0,0.5909090909090909,5.0
50,15,0.2,20,50,50,500,0,950,1.0,0.5263157894736842,6.0
50,16,0.2,20,50,50,550,0,1000,1.0,0.55,7.0
50,17,0.2,20,50,50,600,0,1050,1.0,0.5714285714285714,7.0
50,18,0.2,20,50,50,550,0,1000,1.0,0.55,5.0
50,19,0.2,20,50,50,650,0,1100,1.0,0.5909090909090909,4.0
50,20,0.2,20,50,50,750,0,1200,1.0,0.625,7.0
100,1,0.2,20,100,100,1100,0,2000,1.0,0.55,5.0
100,2,0.2,20,100,100,1100,0,2000,1.0,0.55,7.0
100,3,0.2,20,100,100,500,0,1400,1.0,0.35714285714285715,5.0
100,4,0.2,20,100,100,1300,0,2200,1.0,0.5909090909090909,5.0
100,5,0.2,20,100,100,1700,0,2600,1.0,0.6538461538461539,7.0
100,6,0.2,20,100,100,1200,0,2100,1.0,0.5714285714285714,3.0
100,7,0.2,20,100,100,1700,0,2600,1.0,0.6538461538461539,5.0
100,8,0.2,20,100,100,1200,0,2100,1.0,0.5714285714285714,3.0
100,9,0.2,20,100,100,1000,0,1900,1.0,0.5263157894736842,6.0
100,10,0.2,20,100,100,1500,0,2400,1.0,0.625,6.0
100,11,0.2,20,100,100,1900,0,2800,1.0,0.6785714285714286,9.0
100,12,0.2,20,100,100,1400,0,2300,1.0,0.6086956521739131,7.0
100,13,0.2,20,100,100,900,0,1800,1.0,0.5,7.0
100,14,0.2,20,100,100,1300,0,2200,1.0,0.5909090909090909,5.0
100,15,0.2,20,100,100,1000,0,1900,1.0,0.5263157894736842,6.0
100,16,0.2,20,100,100,1100,0,2000,1.0,0.55,7.0
100,17,0.2,20,100,100,1200,0,2100,1.0,0.5714285714285714,7.0
100,18,0.2,20,100,100,1100,0,2000,1.0,0.55,5.0
100,19,0.2,20,100,100,1300,0,2200,1.0,0.5909090909090909,4.0
100,20,0.2,20,100,100,1500,0,2400,1.0,0.625,7.0
200,1,0.2,20,200,200,2200,0,4000,1.0,0.55,5.0
200,2,0.2,20,200,200,2200,0,4000,1.0,0.55,7.0
200,3,0.2,20,200,200,1000,0,2800,1.0,0.35714285714285715,5.0
200,4,0.2,20,200,200,2600,0,4400,1.0,0.5909090909090909,5.0
200,5,0.2,20,200,200,3400,0,5200,1.0,0.6538461538461539,7.0
200,6,0.2,20,200,200,2400,0,4200,1.0,0.5714285714285714,3.0
200,7,0.2,20,200,200,3400,0,5200,1.0,0.6538461538461539,5.0
200,8,0.2,20,200,200,2400,0,4200,1.0,0.5714285714285714,3.0
200,9,0.2,20,200,200,2000,0,3800,1.0,0.5263157894736842,6.0
200,10,0.2,20,200,200,3000,0,4800,1.0,0.625,6.0
200,11,0.2,20,200,200,3800,0,5600,1.0,0.6785714285714286,9.0
200,12,0.2,20,200,200,2800,0,4600,1.0,0.6086956521739131,7.0
200,13,0.2,20,200,200,1800,0,3600,1.0,0.5,7.0
200,14,0.2,20,200,200,2600,0,4400,1.0,0.5909090909090909,5.0
200,15,0.2,20,200,200,2000,0,3800,1.0,0.5263157894736842,6.0
200,16,0.2,20,200,200,2200,0,4000,1.0,0.55,7.0
200,17,0.2,20,200,200,2400,0,4200,1.0,0.5714285714285714,7.0
200,18,0.2,20,200,200,2200,0,4000,1.0,0.55,5.0
200,19,0.2,20,200,200,2600,0,4400,1.0,0.5909090909090909,4.0
200,20,0.2,20,200,200,3000,0,4800,1.0,0.625,7.0
500,1,0.2,20,500,500,5500,0,10000,1.0,0.55,5.0
500,2,0.2,20,500,500,5500,0,10000,1.0,0.55,7.0
