ttl,seed,edge_probability,generated,delivered,duplicates,dropped,transmissions,delivery_rate,duplicate_ratio
1,1,0.2,100,0,0,400,400,0.0,0.0
1,2,0.2,100,0,0,400,400,0.0,0.0
1,3,0.2,100,0,0,400,400,0.0,0.0
1,4,0.2,100,100,0,400,500,1.0,0.0
1,5,0.2,100,0,0,400,400,0.0,0.0
1,6,0.2,100,0,0,500,500,0.0,0.0
1,7,0.2,100,100,0,600,700,1.0,0.0
1,8,0.2,100,0,0,300,300,0.0,0.0
1,9,0.2,100,0,0,200,200,0.0,0.0
1,10,0.2,100,0,0,400,400,0.0,0.0
1,11,0.2,100,0,0,200,200,0.0,0.0
1,12,0.2,100,100,0,200,300,1.0,0.0
1,13,0.2,100,0,0,200,200,0.0,0.0
1,14,0.2,100,0,0,300,300,0.0,0.0
1,15,0.2,100,0,0,500,500,0.0,0.0
1,16,0.2,100,0,0,200,200,0.0,0.0
1,17,0.2,100,0,0,100,100,0.0,0.0
1,18,0.2,100,100,0,400,500,1.0,0.0
1,19,0.2,100,0,0,300,300,0.0,0.0
1,20,0.2,100,0,0,600,600,0.0,0.0
2,1,0.2,100,0,400,400,1100,0.0,0.36363636363636365
2,2,0.2,100,100,200,400,1000,1.0,0.2
2,3,0.2,100,0,200,200,700,0.0,0.2857142857142857
2,4,0.2,100,100,300,600,1200,1.0,0.25
2,5,0.2,100,100,400,600,1300,1.0,0.3076923076923077
2,6,0.2,100,0,400,500,1200,0.0,0.3333333333333333
2,7,0.2,100,100,700,500,1600,1.0,0.4375
2,8,0.2,100,100,200,500,1000,1.0,0.2
2,9,0.2,100,0,0,600,800,0.0,0.0
2,10,0.2,100,100,400,500,1300,1.0,0.3076923076923077
2,11,0.2,100,100,100,500,800,1.0,0.125
2,12,0.2,100,100,200,500,1000,1.0,0.2
2,13,0.2,100,0,100,500,800,0.0,0.125
2,14,0.2,100,0,300,500,1000,0.0,0.3
2,15,0.2,100,100,400,300,1300,1.0,0.3076923076923077
2,16,0.2,100,0,0,400,600,0.0,0.0
2,17,0.2,100,100,0,500,700,1.0,0.0
2,18,0.2,100,100,200,500,1000,1.0,0.2
2,19,0.2,100,100,200,500,1000,1.0,0.2
2,20,0.2,100,0,500,400,1200,0.0,0.4166666666666667
3,1,0.2,100,100,700,400,1500,1.0,0.4666666666666667
3,2,0.2,100,100,700,300,1600,1.0,0.4375
3,3,0.2,100,100,300,200,1000,1.0,0.3
3,4,0.2,100,100,600,200,1500,1.0,0.4
3,5,0.2,100,100,1000,300,1900,1.0,0.5263157894736842
3,6,0.2,100,100,800,200,1700,1.0,0.47058823529411764
3,7,0.2,100,100,1000,200,1900,1.0,0.5263157894736842
3,8,0.2,100,100,700,200,1500,1.0,0.4666666666666667
3,9,0.2,100,100,400,200,1300,1.0,0.3076923076923077
3,10,0.2,100,100,700,300,1600,1.0,0.4375
3,11,0.2,100,100,800,400,1700,1.0,0.47058823529411764
3,12,0.2,100,100,200,400,1000,1.0,0.2
3,13,0.2,100,100,200,400,1100,1.0,0.18181818181818182
3,14,0.2,100,100,500,400,1300,1.0,0.38461538461538464
3,15,0.2,100,100,600,300,1500,1.0,0.4
3,16,0.2,100,100,200,400,1100,1.0,0.18181818181818182
3,17,0.2,100,100,300,400,1200,1.0,0.25
3,18,0.2,100,100,800,200,1700,1.0,0.47058823529411764
3,19,0.2,100,100,600,400,1400,1.0,0.42857142857142855
3,20,0.2,100,100,800,400,1700,1.0,0.47058823529411764
4,1,0.2,100,100,700,200,1600,1.0,0.4375
4,2,0.2,100,100,600,200,1500,1.0,0.4
4,3,0.2,100,100,400,200,1300,1.0,0.3076923076923077
4,4,0.2,100,100,800,200,1500,1.0,0.5333333333333333
4,5,0.2,100,100,1100,200,2000,1.0,0.55
4,6,0.2,100,100,700,200,1600,1.0,0.4375
4,7,0.2,100,100,1300,300,2200,1.0,0.5909090909090909
4,8,0.2,100,100,900,200,1800,1.0,0.5
4,9,0.2,100,100,700,100,1600,1.0,0.4375
4,10,0.2,100,100,1000,200,1900,1.0,0.5263157894736842
4,11,0.2,100,100,1100,300,2000,1.0,0.55
4,12,0.2,100,100,900,200,1800,1.0,0.5
4,13,0.2,100,100,600,200,1500,1.0,0.4
4,14,0.2,100,100,900,200,1800,1.0,0.5
4,15,0.2,100,100,800,100,1700,1.0,0.47058823529411764
4,16,0.2,100,100,600,200,1500,1.0,0.4
4,17,0.2,100,100,700,300,1600,1.0,0.4375
4,18,0.2,100,100,600,300,1500,1.0,0.4
4,19,0.2,100,100,1000,200,1900,1.0,0.5263157894736842
4,20,0.2,100,100,1200,200,2100,1.0,0.5714285714285714
5,1,0.2,100,100,1000,100,1900,1.0,0.5263157894736842
5,2,0.2,100,100,700,200,1600,1.0,0.4375
5,3,0.2,100,100,500,0,1400,1.0,0.35714285714285715
5,4,0.2,100,100,1100,300,2000,1.0,0.55
5,5,0.2,100,100,1200,200,2100,1.0,0.5714285714285714
5,6,0.2,100,100,1000,100,1900,1.0,0.5263157894736842
5,7,0.2,100,100,1600,100,2500,1.0,0.64
5,8,0.2,100,100,1000,100,1900,1.0,0.5263157894736842
5,9,0.2,100,100,600,200,1500,1.0,0.4
5,10,0.2,100,100,1100,300,2000,1.0,0.55
5,11,0.2,100,100,1500,200,2400,1.0,0.625
5,12,0.2,100,100,700,200,1600,1.0,0.4375
5,13,0.2,100,100,600,200,1500,1.0,0.4
5,14,0.2,100,100,1200,100,2100,1.0,0.5714285714285714
5,15,0.2,100,100,800,100,1700,1.0,0.47058823529411764
5,16,0.2,100,100,800,100,1700,1.0,0.47058823529411764
5,17,0.2,100,100,1000,100,1900,1.0,0.5263157894736842
5,18,0.2,100,100,900,100,1800,1.0,0.5
5,19,0.2,100,100,1200,100,2100,1.0,0.5714285714285714
5,20,0.2,100,100,1100,100,2000,1.0,0.55
6,1,0.2,100,100,1100,0,2000,1.0,0.55
6,2,0.2,100,100,800,100,1700,1.0,0.47058823529411764
6,3,0.2,100,100,500,0,1400,1.0,0.35714285714285715
6,4,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
6,5,0.2,100,100,1400,100,2300,1.0,0.6086956521739131
6,6,0.2,100,100,1000,100,1900,1.0,0.5263157894736842
6,7,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
6,8,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
6,9,0.2,100,100,900,100,1800,1.0,0.5
6,10,0.2,100,100,1500,0,2400,1.0,0.625
6,11,0.2,100,100,1600,100,2500,1.0,0.64
6,12,0.2,100,100,1000,100,1900,1.0,0.5263157894736842
6,13,0.2,100,100,700,100,1600,1.0,0.4375
6,14,0.2,100,100,900,100,1800,1.0,0.5
6,15,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
6,16,0.2,100,100,700,200,1600,1.0,0.4375
6,17,0.2,100,100,800,100,1700,1.0,0.47058823529411764
6,18,0.2,100,100,1000,100,1900,1.0,0.5263157894736842
6,19,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
6,20,0.2,100,100,1300,100,2200,1.0,0.5909090909090909
7,1,0.2,100,100,1100,0,2000,1.0,0.55
7,2,0.2,100,100,1000,100,1900,1.0,0.5263157894736842
7,3,0.2,100,100,500,0,1400,1.0,0.35714285714285715
7,4,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
7,5,0.2,100,100,1400,100,2300,1.0,0.6086956521739131
7,6,0.2,100,100,1100,100,2000,1.0,0.55
7,7,0.2,100,100,1700,0,2600,1.0,0.6538461538461539
7,8,0.2,100,100,1200,0,2100,1.0,0.5714285714285714
7,9,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
7,10,0.2,100,100,1500,0,2400,1.0,0.625
7,11,0.2,100,100,1700,100,2600,1.0,0.6538461538461539
7,12,0.2,100,100,1400,0,2300,1.0,0.6086956521739131
7,13,0.2,100,100,900,0,1800,1.0,0.5
7,14,0.2,100,100,1200,100,2100,1.0,0.5714285714285714
7,15,0.2,100,100,1000,0,1900,1.0,0.5263157894736842
7,16,0.2,100,100,1100,0,2000,1.0,0.55
7,17,0.2,100,100,1100,100,2000,1.0,0.55
7,18,0.2,100,100,900,100,1800,1.0,0.5
7,19,0.2,100,100,1300,0,2200,1.0,0.5909090909090909
